gutenberg_id,title,linenumber,chapter,word
345,Dracula,176,28,which
345,Dracula,176,28,is
345,Dracula,177,28,here
345,Dracula,177,28,of
345,Dracula,177,28,noble
345,Dracula,177,28,width
345,Dracula,177,28,and
345,Dracula,177,28,depth
345,Dracula,177,28,took
345,Dracula,177,28,us
345,Dracula,177,28,among
345,Dracula,177,28,the
345,Dracula,177,28,traditions
345,Dracula,177,28,of
345,Dracula,177,28,turkish
345,Dracula,178,28,rule
345,Dracula,180,28,we
345,Dracula,180,28,left
345,Dracula,180,28,in
345,Dracula,180,28,pretty
345,Dracula,180,28,good
345,Dracula,180,28,time
345,Dracula,180,28,and
345,Dracula,180,28,came
345,Dracula,180,28,after
345,Dracula,180,28,nightfall
345,Dracula,180,28,to
345,Dracula,180,28,klausenburgh
345,Dracula,181,28,here
345,Dracula,181,28,i
345,Dracula,181,28,stopped
345,Dracula,181,28,for
345,Dracula,181,28,the
345,Dracula,181,28,night
345,Dracula,181,28,at
345,Dracula,181,28,the
345,Dracula,181,28,hotel
345,Dracula,181,28,royale
345,Dracula,181,28,i
345,Dracula,181,28,had
345,Dracula,181,28,for
345,Dracula,181,28,dinner
345,Dracula,181,28,or
345,Dracula,182,28,rather
345,Dracula,182,28,supper
345,Dracula,182,28,a
345,Dracula,182,28,chicken
345,Dracula,182,28,done
345,Dracula,182,28,up
345,Dracula,182,28,some
345,Dracula,182,28,way
345,Dracula,182,28,with
345,Dracula,182,28,red
345,Dracula,182,28,pepper
345,Dracula,182,28,which
345,Dracula,182,28,was
345,Dracula,183,28,very
345,Dracula,183,28,good
345,Dracula,183,28,but
345,Dracula,183,28,thirsty
345,Dracula,183,28,_mem
345,Dracula,183,28,get
345,Dracula,183,28,recipe
345,Dracula,183,28,for
345,Dracula,183,28,mina
345,Dracula,183,28,i
345,Dracula,183,28,asked
345,Dracula,183,28,the
345,Dracula,184,28,waiter
345,Dracula,184,28,and
345,Dracula,184,28,he
345,Dracula,184,28,said
345,Dracula,184,28,it
345,Dracula,184,28,was
345,Dracula,184,28,called
345,Dracula,184,28,paprika
345,Dracula,184,28,hendl
345,Dracula,184,28,and
345,Dracula,184,28,that
345,Dracula,184,28,as
345,Dracula,184,28,it
345,Dracula,184,28,was
345,Dracula,184,28,a
345,Dracula,185,28,national
345,Dracula,185,28,dish
345,Dracula,185,28,i
345,Dracula,185,28,should
345,Dracula,185,28,be
345,Dracula,185,28,able
345,Dracula,185,28,to
345,Dracula,185,28,get
345,Dracula,185,28,it
345,Dracula,185,28,anywhere
345,Dracula,185,28,along
345,Dracula,185,28,the
345,Dracula,186,28,carpathians
345,Dracula,186,28,i
345,Dracula,186,28,found
345,Dracula,186,28,my
345,Dracula,186,28,smattering
345,Dracula,186,28,of
345,Dracula,186,28,german
345,Dracula,186,28,very
345,Dracula,186,28,useful
345,Dracula,186,28,here
345,Dracula,186,28,indeed
345,Dracula,186,28,i
345,Dracula,187,28,don't
345,Dracula,187,28,know
345,Dracula,187,28,how
345,Dracula,187,28,i
345,Dracula,187,28,should
345,Dracula,187,28,be
345,Dracula,187,28,able
345,Dracula,187,28,to
345,Dracula,187,28,get
345,Dracula,187,28,on
345,Dracula,187,28,without
345,Dracula,187,28,it
345,Dracula,189,28,having
345,Dracula,189,28,had
345,Dracula,189,28,some
345,Dracula,189,28,time
345,Dracula,189,28,at
345,Dracula,189,28,my
345,Dracula,189,28,disposal
345,Dracula,189,28,when
345,Dracula,189,28,in
345,Dracula,189,28,london
345,Dracula,189,28,i
345,Dracula,189,28,had
345,Dracula,189,28,visited
345,Dracula,189,28,the
345,Dracula,190,28,british
345,Dracula,190,28,museum
345,Dracula,190,28,and
345,Dracula,190,28,made
345,Dracula,190,28,search
345,Dracula,190,28,among
345,Dracula,190,28,the
345,Dracula,190,28,books
345,Dracula,190,28,and
345,Dracula,190,28,maps
345,Dracula,190,28,in
345,Dracula,190,28,the
345,Dracula,190,28,library
345,Dracula,191,28,regarding
345,Dracula,191,28,transylvania
345,Dracula,191,28,it
345,Dracula,191,28,had
345,Dracula,191,28,struck
345,Dracula,191,28,me
345,Dracula,191,28,that
345,Dracula,191,28,some
345,Dracula,191,28,foreknowledge
345,Dracula,191,28,of
345,Dracula,191,28,the
345,Dracula,192,28,country
345,Dracula,192,28,could
345,Dracula,192,28,hardly
345,Dracula,192,28,fail
345,Dracula,192,28,to
345,Dracula,192,28,have
345,Dracula,192,28,some
345,Dracula,192,28,importance
345,Dracula,192,28,in
345,Dracula,192,28,dealing
345,Dracula,192,28,with
345,Dracula,192,28,a
345,Dracula,193,28,nobleman
345,Dracula,193,28,of
345,Dracula,193,28,that
345,Dracula,193,28,country
345,Dracula,193,28,i
345,Dracula,193,28,find
345,Dracula,193,28,that
345,Dracula,193,28,the
345,Dracula,193,28,district
345,Dracula,193,28,he
345,Dracula,193,28,named
345,Dracula,193,28,is
345,Dracula,193,28,in
345,Dracula,193,28,the
345,Dracula,194,28,extreme
345,Dracula,194,28,east
345,Dracula,194,28,of
345,Dracula,194,28,the
345,Dracula,194,28,country
345,Dracula,194,28,just
345,Dracula,194,28,on
345,Dracula,194,28,the
345,Dracula,194,28,borders
345,Dracula,194,28,of
345,Dracula,194,28,three
345,Dracula,194,28,states
345,Dracula,195,28,transylvania
345,Dracula,195,28,moldavia
345,Dracula,195,28,and
345,Dracula,195,28,bukovina
345,Dracula,195,28,in
345,Dracula,195,28,the
345,Dracula,195,28,midst
345,Dracula,195,28,of
345,Dracula,195,28,the
345,Dracula,195,28,carpathian
345,Dracula,196,28,mountains
345,Dracula,196,28,one
345,Dracula,196,28,of
345,Dracula,196,28,the
345,Dracula,196,28,wildest
345,Dracula,196,28,and
345,Dracula,196,28,least
345,Dracula,196,28,known
345,Dracula,196,28,portions
345,Dracula,196,28,of
345,Dracula,196,28,europe
345,Dracula,196,28,i
345,Dracula,196,28,was
345,Dracula,197,28,not
345,Dracula,197,28,able
345,Dracula,197,28,to
345,Dracula,197,28,light
345,Dracula,197,28,on
345,Dracula,197,28,any
345,Dracula,197,28,map
345,Dracula,197,28,or
345,Dracula,197,28,work
345,Dracula,197,28,giving
345,Dracula,197,28,the
345,Dracula,197,28,exact
345,Dracula,197,28,locality
345,Dracula,197,28,of
345,Dracula,197,28,the
345,Dracula,198,28,castle
345,Dracula,198,28,dracula
345,Dracula,198,28,as
345,Dracula,198,28,there
345,Dracula,198,28,are
345,Dracula,198,28,no
345,Dracula,198,28,maps
345,Dracula,198,28,of
345,Dracula,198,28,this
345,Dracula,198,28,country
345,Dracula,198,28,as
345,Dracula,198,28,yet
345,Dracula,198,28,to
345,Dracula,198,28,compare
345,Dracula,199,28,with
345,Dracula,199,28,our
345,Dracula,199,28,own
345,Dracula,199,28,ordnance
345,Dracula,199,28,survey
345,Dracula,199,28,maps
345,Dracula,199,28,but
345,Dracula,199,28,i
345,Dracula,199,28,found
345,Dracula,199,28,that
345,Dracula,199,28,bistritz
345,Dracula,199,28,the
345,Dracula,199,28,post
345,Dracula,200,28,town
345,Dracula,200,28,named
345,Dracula,200,28,by
345,Dracula,200,28,count
345,Dracula,200,28,dracula
345,Dracula,200,28,is
345,Dracula,200,28,a
345,Dracula,200,28,fairly
345,Dracula,200,28,well
345,Dracula,200,28,known
345,Dracula,200,28,place
345,Dracula,200,28,i
345,Dracula,200,28,shall
345,Dracula,200,28,enter
345,Dracula,201,28,here
345,Dracula,201,28,some
345,Dracula,201,28,of
345,Dracula,201,28,my
345,Dracula,201,28,notes
345,Dracula,201,28,as
345,Dracula,201,28,they
345,Dracula,201,28,may
345,Dracula,201,28,refresh
345,Dracula,201,28,my
345,Dracula,201,28,memory
345,Dracula,201,28,when
345,Dracula,201,28,i
345,Dracula,201,28,talk
345,Dracula,201,28,over
345,Dracula,201,28,my
345,Dracula,202,28,travels
345,Dracula,202,28,with
345,Dracula,202,28,mina
345,Dracula,204,28,in
345,Dracula,204,28,the
345,Dracula,204,28,population
345,Dracula,204,28,of
345,Dracula,204,28,transylvania
345,Dracula,204,28,there
345,Dracula,204,28,are
345,Dracula,204,28,four
345,Dracula,204,28,distinct
345,Dracula,204,28,nationalities
345,Dracula,205,28,saxons
345,Dracula,205,28,in
345,Dracula,205,28,the
345,Dracula,205,28,south
345,Dracula,205,28,and
345,Dracula,205,28,mixed
345,Dracula,205,28,with
345,Dracula,205,28,them
345,Dracula,205,28,the
345,Dracula,205,28,wallachs
345,Dracula,205,28,who
345,Dracula,205,28,are
345,Dracula,205,28,the
345,Dracula,206,28,descendants
345,Dracula,206,28,of
345,Dracula,206,28,the
345,Dracula,206,28,dacians
345,Dracula,206,28,magyars
345,Dracula,206,28,in
345,Dracula,206,28,the
345,Dracula,206,28,west
345,Dracula,206,28,and
345,Dracula,206,28,szekelys
345,Dracula,206,28,in
345,Dracula,206,28,the
345,Dracula,207,28,east
345,Dracula,207,28,and
345,Dracula,207,28,north
345,Dracula,207,28,i
345,Dracula,207,28,am
345,Dracula,207,28,going
345,Dracula,207,28,among
345,Dracula,207,28,the
345,Dracula,207,28,latter
345,Dracula,207,28,who
345,Dracula,207,28,claim
345,Dracula,207,28,to
345,Dracula,207,28,be
345,Dracula,207,28,descended
345,Dracula,208,28,from
345,Dracula,208,28,attila
345,Dracula,208,28,and
345,Dracula,208,28,the
345,Dracula,208,28,huns
345,Dracula,208,28,this
345,Dracula,208,28,may
345,Dracula,208,28,be
345,Dracula,208,28,so
345,Dracula,208,28,for
345,Dracula,208,28,when
345,Dracula,208,28,the
345,Dracula,208,28,magyars
345,Dracula,208,28,conquered
345,Dracula,209,28,the
345,Dracula,209,28,country
345,Dracula,209,28,in
345,Dracula,209,28,the
345,Dracula,209,28,eleventh
345,Dracula,209,28,century
345,Dracula,209,28,they
345,Dracula,209,28,found
345,Dracula,209,28,the
345,Dracula,209,28,huns
345,Dracula,209,28,settled
345,Dracula,209,28,in
345,Dracula,209,28,it
345,Dracula,209,28,i
345,Dracula,210,28,read
345,Dracula,210,28,that
345,Dracula,210,28,every
345,Dracula,210,28,known
345,Dracula,210,28,superstition
345,Dracula,210,28,in
345,Dracula,210,28,the
345,Dracula,210,28,world
345,Dracula,210,28,is
345,Dracula,210,28,gathered
345,Dracula,210,28,into
345,Dracula,210,28,the
345,Dracula,211,28,horseshoe
345,Dracula,211,28,of
345,Dracula,211,28,the
345,Dracula,211,28,carpathians
345,Dracula,211,28,as
345,Dracula,211,28,if
345,Dracula,211,28,it
345,Dracula,211,28,were
345,Dracula,211,28,the
345,Dracula,211,28,centre
